tp; ufdatalist
origin; [[0, 3, 6, 9], [1, 4, 7, 10], [2, 5, 8, 11], [3, 6, 9, 12], [4, 7, 10, 13], [5, 8, 11, 14], [6, 9, 12, 15], [7, 10, 13, 16], [8, 11, 14, 17], [9, 12, 15, 18]]
eachlength; [4, 4, 4, 4, 4, 4, 4, 4, 4, 4]
tbe; 0.0
mean; [4.5, 5.5, 6.5, 7.5, 8.5, 9.5, 10.5, 11.5, 12.5, 13.5]
vrc; [5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]
stdv; [2.23606797749979, 2.23606797749979, 2.23606797749979, 2.23606797749979, 2.23606797749979, 2.23606797749979, 2.23606797749979, 2.23606797749979, 2.23606797749979, 2.23606797749979]
SE; [0.7071067811865476, 0.7071067811865476, 0.7071067811865476, 0.7071067811865476, 0.7071067811865476, 0.7071067811865476, 0.7071067811865476, 0.7071067811865476, 0.7071067811865476, 0.7071067811865476]
uf; [4.5+/-0.7071067811865476, 5.5+/-0.7071067811865476, 6.5+/-0.7071067811865476, 7.5+/-0.7071067811865476, 8.5+/-0.7071067811865476, 9.5+/-0.7071067811865476, 10.5+/-0.7071067811865476, 11.5+/-0.7071067811865476, 12.5+/-0.7071067811865476, 13.5+/-0.7071067811865476]
length; 10
varname; A
Last fixed time : 2021-10-13 16;39;46
