tp; ufdatalist
origin; [[0.0, 3.0, 6.0, 9.0], [1.0, 4.0, 7.0, 10.0], [2.0, 5.0, 8.0, 11.0], [3.0, 6.0, 9.0, 12.0], [4.0, 7.0, 10.0, 13.0], [5.0, 8.0, 11.0, 14.0], [6.0, 9.0, 12.0, 15.0], [7.0, 10.0, 13.0, 16.0], [8.0, 11.0, 14.0, 17.0], [9.0, 12.0, 15.0, 18.0]]
eachlength; [4, 4, 4, 4, 4, 4, 4, 4, 4, 4]
tbe; 0.0
mean; [4.5, 5.5, 6.5, 7.5, 8.5, 9.5, 10.5, 11.5, 12.5, 13.5]
vrc; [5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]
stdv; [2.23606797749979, 2.23606797749979, 2.23606797749979, 2.23606797749979, 2.23606797749979, 2.23606797749979, 2.23606797749979, 2.23606797749979, 2.23606797749979, 2.23606797749979]
SE; [0.7071067811865476, 0.7071067811865476, 0.7071067811865476, 0.7071067811865476, 0.7071067811865476, 0.7071067811865476, 0.7071067811865476, 0.7071067811865476, 0.7071067811865476, 0.7071067811865476]
uf; [4.5+/-0.7071067811865476, 5.5+/-0.7071067811865476, 6.5+/-0.7071067811865476, 7.5+/-0.7071067811865476, 8.5+/-0.7071067811865476, 9.5+/-0.7071067811865476, 10.5+/-0.7071067811865476, 11.5+/-0.7071067811865476, 12.5+/-0.7071067811865476, 13.5+/-0.7071067811865476]
length; 10
varname; B
Last fixed time : 2021-10-13 16;39;46
