tp; ufdatalist
origin; [[11.2, 10.8, 10.0, 11.5, 10.5], [12.2, 11.8, 11.0, 12.5, 11.5], [13.2, 12.8, 12.0, 13.5, 12.5], [14.2, 13.8, 13.0, 14.5, 13.5], [15.2, 14.8, 14.0, 15.5, 14.5], [16.2, 15.8, 15.0, 16.5, 15.5], [17.2, 16.8, 16.0, 17.5, 16.5], [18.2, 17.8, 17.0, 18.5, 17.5], [19.2, 18.8, 18.0, 19.5, 18.5], [20.2, 19.8, 19.0, 20.5, 19.5]]
eachlength; [5, 5, 5, 5, 5, 5, 5, 5, 5, 5]
tbe; 0.0
mean; [10.8, 11.8, 12.8, 13.8, 14.8, 15.8, 16.8, 17.8, 18.8, 19.8]
vrc; [0.3449999999999999, 0.3449999999999999, 0.3449999999999999, 0.3449999999999999, 0.3449999999999999, 0.3449999999999999, 0.3449999999999999, 0.3449999999999999, 0.3449999999999999, 0.3449999999999999]
stdv; [0.5873670062235364, 0.5873670062235364, 0.5873670062235364, 0.5873670062235364, 0.5873670062235364, 0.5873670062235364, 0.5873670062235364, 0.5873670062235364, 0.5873670062235364, 0.5873670062235364]
SE; [0.2626785107312739, 0.2626785107312739, 0.2626785107312739, 0.2626785107312739, 0.2626785107312739, 0.2626785107312739, 0.2626785107312739, 0.2626785107312739, 0.2626785107312739, 0.2626785107312739]
uf; [10.8+/-0.2626785107312739, 11.8+/-0.2626785107312739, 12.8+/-0.2626785107312739, 13.8+/-0.2626785107312739, 14.8+/-0.2626785107312739, 15.8+/-0.2626785107312739, 16.8+/-0.2626785107312739, 17.8+/-0.2626785107312739, 18.8+/-0.2626785107312739, 19.8+/-0.2626785107312739]
length; 10
varname; D
Last fixed time : 2021-10-19 15:35:39
